,Accuracy,Precision,Recall,F1-Score,AUC
logistic,0.717360454115421,0.2962866108786611,0.7479253112033195,0.42443540618644976,0.8017425478215048
random_forest,0.7262167560180806,0.30135124640832495,0.731893625047152,0.42692117278178116,0.8036950747377485
gbm,0.863252917060864,0.5369606003752345,0.1349490758204451,0.21569070766448112,0.8069143388207245
